ring_id,vertex_id,x,y
0,0,0,0
0,1,240,0
0,2,240,240
0,3,0,240
1,0,19.799999999999997,19.799999999999997
1,1,19.799999999999997,40.200000000000003
1,2,40.200000000000003,40.200000000000003
1,3,40.200000000000003,19.799999999999997
2,0,79.799999999999997,19.799999999999997
2,1,79.799999999999997,40.200000000000003
2,2,100.2,40.200000000000003
2,3,100.2,19.799999999999997
3,0,139.80000000000001,19.799999999999997
3,1,139.80000000000001,40.200000000000003
3,2,160.20000000000002,40.200000000000003
3,3,160.20000000000002,19.799999999999997
4,0,199.80000000000001,19.799999999999997
4,1,199.80000000000001,40.200000000000003
4,2,220.20000000000002,40.200000000000003
4,3,220.20000000000002,19.799999999999997
5,0,19.799999999999997,79.799999999999997
5,1,19.799999999999997,100.2
5,2,40.200000000000003,100.2
5,3,40.200000000000003,79.799999999999997
6,0,79.799999999999997,79.799999999999997
6,1,79.799999999999997,100.2
6,2,100.2,100.2
6,3,100.2,79.799999999999997
7,0,139.80000000000001,79.799999999999997
7,1,139.80000000000001,100.2
7,2,160.20000000000002,100.2
7,3,160.20000000000002,79.799999999999997
8,0,199.80000000000001,79.799999999999997
8,1,199.80000000000001,100.2
8,2,220.20000000000002,100.2
8,3,220.20000000000002,79.799999999999997
9,0,19.799999999999997,139.80000000000001
9,1,19.799999999999997,160.20000000000002
9,2,40.200000000000003,160.20000000000002
9,3,40.200000000000003,139.80000000000001
10,0,79.799999999999997,139.80000000000001
10,1,79.799999999999997,160.20000000000002
10,2,100.2,160.20000000000002
10,3,100.2,139.80000000000001
11,0,139.80000000000001,139.80000000000001
11,1,139.80000000000001,160.20000000000002
11,2,160.20000000000002,160.20000000000002
11,3,160.20000000000002,139.80000000000001
12,0,199.80000000000001,139.80000000000001
12,1,199.80000000000001,160.20000000000002
12,2,220.20000000000002,160.20000000000002
12,3,220.20000000000002,139.80000000000001
13,0,19.799999999999997,199.80000000000001
13,1,19.799999999999997,220.20000000000002
13,2,40.200000000000003,220.20000000000002
13,3,40.200000000000003,199.80000000000001
14,0,79.799999999999997,199.80000000000001
14,1,79.799999999999997,220.20000000000002
14,2,100.2,220.20000000000002
14,3,100.2,199.80000000000001
15,0,139.80000000000001,199.80000000000001
15,1,139.80000000000001,220.20000000000002
15,2,160.20000000000002,220.20000000000002
15,3,160.20000000000002,199.80000000000001
16,0,199.80000000000001,199.80000000000001
16,1,199.80000000000001,220.20000000000002
16,2,220.20000000000002,220.20000000000002
16,3,220.20000000000002,199.80000000000001
